chinese,thai_meaning,category,hsk_level
悲观,"มองโลกในแง่ร้าย, สิ้นหวัง",,hsk7
悲欢离合,"สุขทุกข์ปะปนกัน, การพลัดพรากและการพบเจอ",,hsk7
悲痛,"ความโศกเศร้า, ความเจ็บปวด",,hsk7
碑,"แผ่นจารึก, อนุสาวรีย์, ป้าย",,hsk7
贝壳,เปลือกหอย,,hsk7
备课,เตรียมการสอน,,hsk7
备受,"ได้รับอย่างมาก, ได้รับการยกย่องอย่างสูง",,hsk7
备用,"สำรอง, เตรียมไว้",,hsk7
背面,"ด้านหลัง, ด้านหลังของ",,hsk7
背叛,"ทรยศ, หักหลัง",,hsk7
背诵,"ท่องจำ, ท่องบ่น",,hsk7
被捕,ถูกจับกุม,,hsk7
奔,"วิ่ง, พุ่ง, รีบไป",,hsk7
奔波,"ดิ้นรน, เร่งรีบ, วุ่นวาย",,hsk7
奔赴,"มุ่งหน้าไป, รีบไปสู่",,hsk7
本分,"หน้าที่, ขอบเขตความรับผิดชอบ",,hsk7
本能,สัญชาตญาณ,,hsk7
本钱,"เงินทุน, ต้นทุน",,hsk7
本色,"เนื้อแท้, ลักษณะที่แท้จริง",,hsk7
本性,"ธรรมชาติ, สันดาน, นิสัย",,hsk7
本意,"ความตั้งใจเดิม, ความหมายที่แท้จริง",,hsk7
本着,"โดยยึดตาม, โดยมีพื้นฐานจาก",,hsk7
笨蛋,"คนโง่, คนทึ่ม",,hsk7
笨重,"หนัก, เทอะทะ, อุ้ยอ้าย",,hsk7
绷,"ตึง, ขึง, รัด",,hsk7
蹦,"กระโดด, เด้ง",,hsk7
逼近,"คืบคลานเข้ามา, ใกล้เข้ามาอย่างรวดเร็ว",,hsk7
逼迫,"บีบบังคับ, กดดัน",,hsk7
鼻涕,น้ำมูก,,hsk7
比比皆是,"มีอยู่ทุกหนทุกแห่ง, พบเห็นได้ทั่วไป",,hsk7
比不上,"สู้ไม่ได้, เทียบไม่ได้",,hsk7
比起,"เมื่อเทียบกับ, เมื่อเปรียบเทียบกับ",,hsk7
比试,"ประลอง, แข่งขัน, ทดสอบ",,hsk7
比喻,"อุปมาอุปไมย, การเปรียบเทียบ",,hsk7
鄙视,"ดูถูก, เหยียดหยาม, หมิ่นประมาท",,hsk7
必不可少,"จำเป็นอย่างยิ่ง, ขาดไม่ได้",,hsk7
必定,"แน่นอน, ต้อง, อย่างไม่ต้องสงสัย",,hsk7
弊病,"ข้อบกพร่อง, ข้อเสีย, โรค",,hsk7
弊端,"ข้อเสีย, ข้อบกพร่อง, ความผิดพลาด",,hsk7
碧绿,"เขียวสด, สีเขียวมรกต",,hsk7
壁画,ภาพจิตรกรรมฝาผนัง,,hsk7
避难,"หลบภัย, ลี้ภัย",,hsk7
避暑,หลบร้อน,,hsk7
边疆,"ชายแดน, เขตแดน",,hsk7
边界,"พรมแดน, เขตแดน",,hsk7
边远,"ห่างไกล, ทุรกันดาร",,hsk7
编号,"หมายเลข, รหัส",,hsk7
编剧,"นักเขียนบทภาพยนตร์, ผู้เขียนบทละคร",,hsk7
编排,"จัดลำดับ, เรียบเรียง, วางแผน",,hsk7
编写,"เขียน, เรียบเรียง, ประพันธ์",,hsk7
编造,"กุเรื่อง, สร้างเรื่อง, แต่งเรื่อง",,hsk7
鞭策,"กระตุ้น, เร่งเร้า, ตักเตือน",,hsk7
鞭炮,"ประทัด, พลุ",,hsk7
变革,"การเปลี่ยนแปลง, การปฏิรูป",,hsk7
变幻莫测,"เปลี่ยนแปลงตลอดเวลา, คาดเดาไม่ได้",,hsk7
变迁,"การเปลี่ยนแปลง, ความผันผวน",,hsk7
变异,"การกลายพันธุ์, ความผิดปกติ",,hsk7
便道,"ทางลัด, ทางเลี่ยง",,hsk7
便饭,"อาหารง่ายๆ, อาหารธรรมดา",,hsk7
便捷,"สะดวก, รวดเร็ว",,hsk7
便利店,ร้านสะดวกซื้อ,,hsk7
遍布,"กระจายไปทั่ว, แพร่หลาย",,hsk7
辨别,"แยกแยะ, พิจารณา",,hsk7
辨认,"จำได้, รู้จัก",,hsk7
辩,"โต้เถียง, ถกเถียง, อภิปราย",,hsk7
辫子,"เปีย, ผมเปีย",,hsk7
标,"ป้าย, สัญลักษณ์, ธง",,hsk7
标榜,"ยกย่อง, เชิดชู, โฆษณาชวนเชื่อ",,hsk7
标本,"ตัวอย่าง, ต้นแบบ, สิ่งที่เก็บรักษา",,hsk7
标签,"ป้าย, ฉลาก",,hsk7
标示,"ระบุ, แสดง, ชี้บอก",,hsk7
标语,"ป้ายโฆษณา, คำขวัญ",,hsk7
飙升,พุ่งสูงขึ้นอย่างรวดเร็ว,,hsk7
表决,"ลงคะแนน, โหวต",,hsk7
表率,"แบบอย่าง, ตัวอย่างที่ดี",,hsk7
表述,"การแสดงออก, การอธิบาย",,hsk7
表态,"แสดงจุดยืน, แสดงท่าที",,hsk7
表彰,"ยกย่อง, เชิดชูเกียรติ",,hsk7
别具匠心,"มีเอกลักษณ์เฉพาะตัว, มีความคิดสร้างสรรค์",,hsk7
别看,"อย่าดูถูก, อย่าประมาท",,hsk7
别墅,"คฤหาสน์, วิลล่า",,hsk7
别说,"อย่าพูด, อย่าพูดถึง",,hsk7
别提了,"ไม่ต้องพูดถึง, อย่าพูดถึงเลย",,hsk7
别致,"มีเอกลักษณ์, เก๋ไก๋, งดงาม",,hsk7
彬彬有礼,"สุภาพเรียบร้อย, มีมารยาท",,hsk7
滨海,"ชายทะเล, ชายฝั่ง",,hsk7
缤纷,"หลากสีสัน, สดใส",,hsk7
冰棍儿,ไอศกรีมแท่ง,,hsk7
冰山,ภูเขาน้ำแข็ง,,hsk7
丙,ลำดับที่สาม (ในระบบเทียนกานตี้จือ),,hsk7
秉承,"ยึดถือ, สืบทอด",,hsk7
并非,"ไม่ใช่, ไม่ได้เป็น",,hsk7
并购,การควบรวมกิจการ,,hsk7
并列,"วางเคียงข้างกัน, ขนานกัน",,hsk7
并行,"ทำงานพร้อมกัน, ดำเนินการพร้อมกัน",,hsk7
病床,เตียงผู้ป่วย,,hsk7
病症,"อาการป่วย, โรค",,hsk7
拨,"ปัด, เขี่ย, โยก ; จ่าย (เงิน)",,hsk7
拨款,"จัดสรรงบประมาณ, ให้เงินทุน",,hsk7
拨通,โทรออกสำเร็จ,,hsk7
波及,"ส่งผลกระทบ, กระทบ",,hsk7
波澜,"คลื่น, ความปั่นป่วน",,hsk7
波涛,"คลื่น, ระลอกคลื่น",,hsk7
波折,"อุปสรรค, ความยุ่งยาก, ความผันผวน",,hsk7
剥,"ปอก, กะเทาะ",,hsk7
剥夺,"ริบ, ยึดเอาไป, ปล้น",,hsk7
剥削,"ขูดรีด, เอาเปรียบ",,hsk7
伯伯,ลุง (พี่ชายของพ่อ),,hsk7
伯父,ลุง (พี่ชายของพ่อ),,hsk7
伯母,ป้า (ภรรยาของลุง),,hsk7
驳回,"ยกฟ้อง, ปฏิเสธคำร้อง",,hsk7
搏斗,"ต่อสู้, ปะทะ",,hsk7
补给,"เสบียง, การส่งกำลังบำรุง",,hsk7
补救,"แก้ไข, เยียวยา",,hsk7
哺育,"เลี้ยงดู, ให้ความอบอุ่น",,hsk7
捕捉,"จับ, ล่า, คว้า",,hsk7
不耻下问,ไม่ละอายที่จะถามในสิ่งที่ตนไม่รู้,,hsk7
不辞而别,จากไปโดยไม่บอกลา,,hsk7
不得而知,"ไม่ทราบสาเหตุ, ไม่รู้ที่มา",,hsk7
不得已,"จำใจต้อง, ไม่มีทางเลือกอื่น",,hsk7
不定,"ไม่แน่นอน, ไม่คงที่",,hsk7
不妨,"ไม่เป็นไร, ลองดู",,hsk7
不服,"ไม่ยอมรับ, ไม่เห็นด้วย",,hsk7
不服气,"ไม่ยอม, ไม่ยอมแพ้",,hsk7
不假思索,"โดยไม่ต้องคิด, ทันทีทันใด",,hsk7
不见得,"ไม่แน่, ไม่ใช่ว่า",,hsk7
不解,"ไม่เข้าใจ, งง",,hsk7
不经意,"โดยไม่ตั้งใจ, โดยบังเอิญ",,hsk7
不景气,"ซบเซา, ไม่คึกคัก",,hsk7
不堪,"ทนไม่ไหว, ไม่สามารถ",,hsk7
不可避免,"หลีกเลี่ยงไม่ได้, จำเป็นต้อง",,hsk7
不可思议,"เหลือเชื่อ, ไม่น่าเชื่อ",,hsk7
不了了之,"ปล่อยให้จบไป, ไม่จัดการต่อ",,hsk7
不理,"ไม่สนใจ, ไม่แยแส",,hsk7
不利于,ไม่เป็นประโยชน์ต่อ,,hsk7
不难,"ไม่ยาก, ง่าย",,hsk7
不平,"ไม่ยุติธรรม, ไม่เท่าเทียม",,hsk7
不起眼,"ไม่สะดุดตา, ธรรมดา",,hsk7
不容,"ไม่อนุญาต, ไม่ยอมให้",,hsk7
不如说,"กล่าวคือ, หรือจะพูดอีกอย่างหนึ่งก็คือ",,hsk7
不慎,"โดยไม่ระมัดระวัง, โดยประมาท",,hsk7
不适,"ไม่สบาย, ป่วย",,hsk7
不算,"ไม่นับ, ไม่ถือว่า",,hsk7
不同寻常,"ไม่ธรรมดา, พิเศษ",,hsk7
不为人知,"ไม่เป็นที่รู้จัก, ลึกลับ",,hsk7
不惜,"ไม่ลังเล, ไม่เสียดาย",,hsk7
不相上下,"สูสี, เท่าเทียมกัน",,hsk7
不像话,"ไม่เหมาะสม, ไม่เข้าท่า",,hsk7
不屑,"ไม่เห็นค่า, ไม่ใส่ใจ",,hsk7
不懈,"ไม่หยุดหย่อน, ไม่ย่อท้อ",,hsk7
不亚于,"ไม่ด้อยไปกว่า, เท่าเทียมกับ",,hsk7
不已,"ไม่หยุด, ไม่สิ้นสุด",,hsk7
不以为然,"ไม่เห็นด้วย, ไม่ใส่ใจ",,hsk7
不亦乐乎,"สนุกสนานมาก, มีความสุขมาก",,hsk7
不翼而飞,"หายไปเอง, มาเองโดยไม่มีใครรู้",,hsk7
不宜,"ไม่เหมาะสม, ไม่ควร",,hsk7
不用说,"ไม่ต้องพูด, ไม่จำเป็นต้องกล่าว",,hsk7
不由得,"อดไม่ได้ที่จะ, เผลอ",,hsk7
不由自主,"โดยไม่รู้ตัว, โดยอัตโนมัติ",,hsk7
不予,"ไม่ให้, ไม่ยอมให้",,hsk7
不约而同,"โดยไม่ได้นัดหมาย, โดยบังเอิญ",,hsk7
不正之风,"พฤติกรรมที่ไม่ถูกต้อง, แนวโน้มที่ไม่ดี",,hsk7
不知,"ไม่รู้, ไม่ทราบ",,hsk7
不知不觉,"โดยไม่รู้ตัว, โดยไม่ทันรู้ตัว",,hsk7
不准,"ไม่อนุญาต, ห้าม",,hsk7
步入,"ก้าวเข้าสู่, เข้าไป",,hsk7
步骤,"ขั้นตอน, กระบวนการ",,hsk7
部署,"วางแผน, จัดวางกำลัง",,hsk7
猜谜,ทายปริศนา,,hsk7
猜想,"คาดเดา, สันนิษฐาน",,hsk7
才华,"ความสามารถพิเศษ, พรสวรรค์",,hsk7
财经,"การเงิน, เศรษฐกิจ",,hsk7
财力,"กำลังทรัพย์, ทรัพยากรทางการเงิน",,hsk7
财物,"ทรัพย์สิน, สิ่งของ",,hsk7
财务,"การเงิน, การบัญชี",,hsk7
财政,"การคลัง, การบริหารการเงินของรัฐ",,hsk7
裁,"ตัด, พิจารณา (คดี)",,hsk7
裁定,"ตัดสิน, ชี้ขาด",,hsk7
裁决,"คำตัดสิน, การตัดสิน",,hsk7
采,"เก็บเกี่ยว, เลือก, นำมาใช้",,hsk7
采集,"เก็บเกี่ยว, รวบรวม",,hsk7
采矿,การทำเหมือง,,hsk7
彩电,โทรทัศน์สี,,hsk7
彩霞,"แสงสีรุ้ง, แสงอาทิตย์ยามเย็น",,hsk7
菜市场,"ตลาดสด, ตลาดผักผลไม้",,hsk7
参见,"เข้าร่วม, พบปะ",,hsk7
参军,เข้าร่วมกองทัพ,,hsk7
参谋,"ที่ปรึกษา, เสนาธิการ",,hsk7
参照,"อ้างอิง, เปรียบเทียบ",,hsk7
餐桌,โต๊ะอาหาร,,hsk7
残留,"ตกค้าง, หลงเหลือ",,hsk7
残缺,"ชำรุด, บกพร่อง, ไม่สมบูรณ์",,hsk7
残忍,"โหดร้าย, ทารุณ",,hsk7
惨白,"ซีดเผือด, ขาวซีด",,hsk7
惨痛,"เจ็บปวดแสนสาหัส, ทุกข์ทรมานอย่างยิ่ง",,hsk7
惨重,"หนักหนาสาหัส, ร้ายแรง",,hsk7
灿烂,"สว่างไสว, เจิดจ้า, รุ่งโรจน์",,hsk7
掺,"ผสม, เจือปน",,hsk7
沧桑,"ความเปลี่ยนแปลงตามกาลเวลา, ความทรุดโทรม",,hsk7
苍蝇,แมลงวัน,,hsk7
舱,"ห้องโดยสาร, ห้องคนขับ",,hsk7
藏匿,"ซ่อนตัว, หลบซ่อน",,hsk7
藏品,"ของสะสม, วัตถุโบราณ",,hsk7
藏身,"ซ่อนตัว, หลบหนี",,hsk7
操控,"ควบคุม, จัดการ",,hsk7
操心,"กังวล, เป็นห่วง",,hsk7
槽,"ราง, ร่อง, รางน้ำ",,hsk7
草案,"ร่าง, ฉบับร่าง",,hsk7
草坪,สนามหญ้า,,hsk7
侧面,"ด้านข้าง, มุมมองด้านข้าง",,hsk7
侧重,"เน้น, ให้ความสำคัญกับ",,hsk7
测算,"คำนวณ, ประเมิน",,hsk7
层出不穷,"เกิดขึ้นไม่หยุดหย่อน, มีมาไม่ขาดสาย",,hsk7
插手,"เข้าไปยุ่งเกี่ยว, สอดมือ",,hsk7
插图,"ภาพประกอบ, รูปแทรก",,hsk7
插嘴,"พูดแทรก, ขัดจังหวะ",,hsk7
查处,สอบสวนและลงโทษ,,hsk7
查明,"สืบหาความจริง, ทำให้ชัดเจน",,hsk7
查找,"ค้นหา, สืบหา",,hsk7
茶道,"วิถีแห่งชา, พิธีชงชา",,hsk7
茶馆儿,"โรงน้ำชา, ร้านน้ำชา",,hsk7
察看,"สังเกตการณ์, ตรวจตรา",,hsk7
诧异,"ประหลาดใจ, งุนงง",,hsk7
差错,"ข้อผิดพลาด, ความผิดพลาด",,hsk7
差额,"ส่วนต่าง, ผลต่าง",,hsk7
搀,"ผสม, เจือปน",,hsk7
禅杖,"ไม้เท้าพระ, ไม้เท้าของนักบวช",,hsk7
馋,"ตะกละ, อยากกิน",,hsk7
产,"ผลิต, สร้าง",,hsk7
产地,"แหล่งผลิต, แหล่งกำเนิด",,hsk7
产物,"ผลผลิต, สิ่งที่ผลิตได้",,hsk7
产值,"มูลค่าการผลิต, ผลผลิต",,hsk7
铲,"พลั่ว, เสียม",,hsk7
阐述,"อธิบาย, ชี้แจง",,hsk7
颤抖,"สั่น, สั่นเทา",,hsk7
猖狂,"ดุร้าย, อาละวาด, คุกคาม",,hsk7
偿还,"ชดใช้, ชำระคืน",,hsk7
常理,"สามัญสำนึก, เหตุผลทั่วไป",,hsk7
常人,คนธรรมดา,,hsk7
常态,"สภาวะปกติ, สภาพปกติ",,hsk7
常温,อุณหภูมิปกติ,,hsk7
嫦娥,เทพธิดาฉางเอ๋อ (ในตำนานจีน),,hsk7
厂家,"ผู้ผลิต, โรงงาน",,hsk7
畅谈,"พูดคุยอย่างเปิดอก, สนทนาอย่างสนุกสนาน",,hsk7
畅销,"ขายดี, เป็นที่นิยม",,hsk7
倡议,"ข้อเสนอ, การริเริ่ม",,hsk7
敞开,"เปิดกว้าง, เปิดใจ",,hsk7
抄袭,"ลอกเลียนแบบ, คัดลอก",,hsk7
超标,"เกินมาตรฐาน, เกินกำหนด",,hsk7
超车,แซงรถ,,hsk7
超前,"ล้ำหน้า, ก้าวหน้า",,hsk7
超速,ขับรถเร็วเกินกำหนด,,hsk7
朝代,ราชวงศ์,,hsk7
朝气蓬勃,"เปี่ยมด้วยพลัง, กระปรี้กระเปร่า",,hsk7
朝三暮四,"เปลี่ยนไปมา, ไม่แน่นอน",,hsk7
朝夕相处,"อยู่ร่วมกันมานาน, ใกล้ชิดกัน",,hsk7
朝着,"มุ่งหน้าสู่, ไปทาง",,hsk7
嘲弄,"เยาะเย้ย, ล้อเลียน",,hsk7
吵嘴,"ทะเลาะกัน, โต้เถียงกัน",,hsk7
车祸,อุบัติเหตุทางรถยนต์,,hsk7
车间,"โรงงาน, เวิร์กช็อป",,hsk7
车轮,ล้อรถ,,hsk7
车速,ความเร็วรถ,,hsk7
车位,ที่จอดรถ,,hsk7
车厢,"ตู้รถ, โบกี้รถไฟ",,hsk7
车型,"รุ่นรถ, แบบรถ",,hsk7
车轴,เพลาล้อ,,hsk7
扯,"ดึง, ฉีก, พูด (เช่น พูดจาไม่ดี)",,hsk7
彻夜,"ตลอดคืน, ทั้งคืน",,hsk7
撤,"ถอน, ย้ายออก, ยกเลิก",,hsk7
撤换,"เปลี่ยน, สับเปลี่ยน",,hsk7
沉甸甸,"หนักอึ้ง, หนักอึมครึม",,hsk7
沉淀,"ตกตะกอน, สะสม",,hsk7
沉浸,"ดื่มด่ำ, ซึมซับ",,hsk7
沉闷,"อึมครึม, น่าเบื่อ, หนักใจ",,hsk7
沉思,"ครุ่นคิด, ไตร่ตรอง",,hsk7
沉稳,"สุขุม, เยือกเย็น, มั่นคง",,hsk7
沉着,"สงบ, ใจเย็น, สุขุม",,hsk7
陈旧,"เก่าแก่, ล้าสมัย",,hsk7
陈列,"จัดแสดง, แสดงรายการ",,hsk7
陈述,"บรรยาย, เล่าเรื่อง",,hsk7
趁,"ฉวยโอกาส, ใช้ประโยชน์จาก",,hsk7
趁机,"ใช้โอกาส, ฉวยโอกาส",,hsk7
趁早,"แต่เนิ่นๆ, โดยเร็ว",,hsk7
趁着,"โดยอาศัย, โดยใช้ประโยชน์จาก",,hsk7
称呼,"คำเรียก, การเรียกชื่อ",,hsk7
称作,"เรียกว่า, ขนานนามว่า",,hsk7
成才,"ประสบความสำเร็จ, เติบโต",,hsk7
成家,สร้างครอบครัว,,hsk7
成年,"ผู้ใหญ่, บรรลุนิติภาวะ",,hsk7
成千上万,"มากมาย, นับไม่ถ้วน",,hsk7
成群结队,"เป็นกลุ่ม, เป็นฝูง, เป็นขบวน",,hsk7
成天,"ทั้งวัน, ตลอดวัน",,hsk7
成问题,"เป็นปัญหา, มีปัญหา",,hsk7
成型,"ขึ้นรูป, เป็นรูปเป็นร่าง",,hsk7
呈现,"ปรากฏ, แสดงให้เห็น, นำเสนอ",,hsk7
承包,"รับเหมา, ทำสัญญา, รับผิดชอบ",,hsk7
承载,"แบกรับ, รองรับ, บรรทุก",,hsk7
诚恳,"จริงใจ, สุจริตใจ, ด้วยความจริงใจ",,hsk7
诚心诚意,"ด้วยความจริงใจ, ด้วยใจจริง",,hsk7
诚意,"ความจริงใจ, ความตั้งใจจริง",,hsk7
诚挚,"จริงใจ, ด้วยความจริงใจ",,hsk7
城墙,กำแพงเมือง,,hsk7
乘人之危,"เอาเปรียบคนตกอับ, ซ้ำเติมคนอ่อนแอ",,hsk7
惩处,"ลงโทษ, ลงทัณฑ์",,hsk7
澄清,"ทำให้ชัดเจน, ชี้แจง, ทำให้กระจ่าง",,hsk7
橙汁,น้ำส้ม,,hsk7
秤,"ตาชั่ง, เครื่องชั่ง",,hsk7
吃不上,"กินไม่ได้, ไม่มีจะกิน",,hsk7
吃喝玩乐,"กินดื่มเที่ยวเล่น, สังสรรค์เฮฮา",,hsk7
吃苦,"อดทนต่อความยากลำบาก, ลำบากตรากตรำ",,hsk7
吃亏,"เสียเปรียบ, ขาดทุน, ได้รับความเสียหาย",,hsk7
痴呆,"สมองเสื่อม, สติปัญญาถดถอย, งงงวย",,hsk7
痴心,"หลงรักอย่างหัวปักหัวปำ, หลงใหล",,hsk7
池塘,"สระน้ำ, บ่อน้ำ",,hsk7
驰名,"มีชื่อเสียง, โด่งดัง",,hsk7
迟迟,"ช้าๆ, เนิ่นนาน, ล่าช้า",,hsk7
迟疑,"ลังเล, อ้ำอึ้ง, รีรอ",,hsk7
迟早,"ไม่ช้าก็เร็ว, ในที่สุด",,hsk7
持,"ถือ, จับ, รักษา, ดำเนินการ",,hsk7
持久,"ยาวนาน, ยั่งยืน, ทนทาน",,hsk7
持之以恒,"ยืนหยัด, อดทน, ไม่ย่อท้อ",,hsk7
尺度,"มาตราส่วน, มาตรฐาน, ขอบเขต",,hsk7
赤字,"ขาดทุน, ตัวแดง",,hsk7
